id,session_key,date,lap_number,category,flag,scope,message,driver_number
896,9118,2023-07-02T13:41:31+00:00,31,Other,,,CAR 10 (GAS) TIME 1:10.670 DELETED - TRACK LIMITS AT TURN 10 LAP 28 15:38:27,
897,9118,2023-07-02T13:41:32+00:00,31,Other,,,CAR 10 (GAS) TIME 1:11.188 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
898,9118,2023-07-02T13:41:44+00:00,32,Other,,,CAR 23 (ALB) TIME 1:11.015 DELETED - TRACK LIMITS AT TURN 10 LAP 28 15:38:36,
899,9118,2023-07-02T13:41:45+00:00,32,Other,,,CAR 23 (ALB) TIME 1:11.016 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
900,9118,2023-07-02T13:41:59+00:00,32,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS,23
901,9118,2023-07-02T13:42:15+00:00,32,Other,,,CAR 10 (GAS) TIME 1:10.541 DELETED - TRACK LIMITS AT TURN 10 LAP 25 15:34:55,
902,9118,2023-07-02T13:42:16+00:00,32,Other,,,CAR 10 (GAS) TIME 1:10.662 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
903,9118,2023-07-02T13:42:23+00:00,32,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 10 (GAS) - TRACK LIMITS,10
904,9118,2023-07-02T13:42:51+00:00,33,Other,,,CAR 23 (ALB) TIME 1:10.822 DELETED - TRACK LIMITS AT TURN 10 LAP 25 15:35:03,
905,9118,2023-07-02T13:42:52+00:00,33,Other,,,CAR 23 (ALB) TIME 1:10.898 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
906,9118,2023-07-02T13:43:28+00:00,33,Other,,,CAR 21 (DEV) TIME 1:11.292 DELETED - TRACK LIMITS AT TURN 9 LAP 21 15:30:29,
907,9118,2023-07-02T13:43:38+00:00,33,Other,,,CAR 10 (GAS) TIME 1:10.662 DELETED - TRACK LIMITS AT TURN 10 LAP 26 15:36:06,
908,9118,2023-07-02T13:43:39+00:00,33,Other,,,CAR 10 (GAS) TIME 1:10.649 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
909,9118,2023-07-02T13:44:03+00:00,34,Other,,,CAR 23 (ALB) TIME 1:10.898 DELETED - TRACK LIMITS AT TURN 10 LAP 26 15:36:14,
910,9118,2023-07-02T13:44:04+00:00,34,Other,,,CAR 23 (ALB) TIME 1:11.348 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
911,9118,2023-07-02T13:44:33+00:00,34,Other,,,INCIDENT INVOLVING CAR 23 (ALB) NOTED - TRACK LIMITS,
912,9118,2023-07-02T13:44:52+00:00,34,Other,,,FIA STEWARDS: INCIDENT INVOLVING CAR 23 (ALB) UNDER INVESTIGATION - TRACK LIMITS,
913,9118,2023-07-02T13:45:08+00:00,34,Other,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 23 (ALB) - TRACK LIMITS,
914,9118,2023-07-02T13:45:19+00:00,35,Other,,,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) NO FURTHER ACTION - FAILING TO SERVE PENALTY CORRECTLY,
915,9118,2023-07-02T13:45:24+00:00,35,Other,,,CAR 10 (GAS) TIME 1:10.538 DELETED - TRACK LIMITS AT TURN 9 LAP 22 15:31:20,
916,9118,2023-07-02T13:45:36+00:00,35,Other,,,CAR 22 (TSU) TIME 1:12.890 DELETED - TRACK LIMITS AT TURN 9 LAP 22 15:31:30,
917,9118,2023-07-02T13:46:10+00:00,35,Other,,,CAR 10 (GAS) TIME 1:10.649 DELETED - TRACK LIMITS AT TURN 10 LAP 27 15:37:16,
918,9118,2023-07-02T13:46:15+00:00,35,Other,,,CAR 10 (GAS) TIME 1:10.670 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
919,9118,2023-07-02T13:46:27+00:00,36,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 15:46:27,81
920,9118,2023-07-02T13:46:28+00:00,36,Other,,,CAR 31 (OCO) TIME 1:10.937 DELETED - TRACK LIMITS AT TURN 10 LAP 27 15:37:26,
921,9118,2023-07-02T13:46:35+00:00,36,Other,,,CAR 31 (OCO) TIME 1:10.877 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
922,9118,2023-07-02T13:46:40+00:00,36,Other,,,CAR 4 (NOR) TIME 1:09.947 DELETED - TRACK LIMITS AT TURN 10 LAP 28 15:38:15,
923,9118,2023-07-02T13:46:44+00:00,36,Other,,,CAR 4 (NOR) TIME 1:10.826 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
924,9118,2023-07-02T13:46:59+00:00,36,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 15:46:59,81
