id,race_id,driver_id,constructor_id,number,position,points,grid,laps,status,qualifying_position
7408,2020_7,bottas,mercedes,77,2,18.0,2,44,Finished,2
7409,2020_7,max_verstappen,red_bull,33,3,15.0,3,44,Finished,3
7410,2020_7,ricciardo,renault,3,4,13.0,4,44,Finished,4
7411,2020_7,ocon,renault,31,5,10.0,6,44,Finished,6
7412,2020_7,albon,red_bull,23,6,8.0,5,44,Finished,5
7413,2020_7,norris,mclaren,4,7,6.0,10,44,Finished,10
7414,2020_7,gasly,alphatauri,10,8,4.0,12,44,Finished,12
7415,2020_7,stroll,racing_point,18,9,2.0,9,44,Finished,9
7416,2020_7,perez,racing_point,11,10,1.0,8,44,Finished,8
7417,2020_7,kvyat,alphatauri,26,11,0.0,11,44,Finished,11
7418,2020_7,raikkonen,alfa,7,12,0.0,16,44,Finished,16
7419,2020_7,vettel,ferrari,5,13,0.0,14,44,Finished,14
7420,2020_7,leclerc,ferrari,16,14,0.0,13,44,Finished,13
7421,2020_7,grosjean,haas,8,15,0.0,17,44,Finished,17
7422,2020_7,latifi,williams,6,16,0.0,19,44,Finished,19
7423,2020_7,kevin_magnussen,haas,20,17,0.0,20,44,Finished,20
7424,2020_7,giovinazzi,alfa,99,18,0.0,18,9,Accident,18
7425,2020_7,russell,williams,63,19,0.0,15,9,Debris,15
7426,2020_7,sainz,mclaren,55,20,0.0,7,0,Exhaust,7
7427,2020_8,gasly,alphatauri,10,1,25.0,10,53,Finished,10
7428,2020_8,sainz,mclaren,55,2,18.0,3,53,Finished,3
7429,2020_8,stroll,racing_point,18,3,15.0,8,53,Finished,8
7430,2020_8,norris,mclaren,4,4,12.0,6,53,Finished,6
7431,2020_8,bottas,mercedes,77,5,10.0,2,53,Finished,2
7432,2020_8,ricciardo,renault,3,6,8.0,7,53,Finished,7
7433,2020_8,hamilton,mercedes,44,7,7.0,1,53,Finished,1
7434,2020_8,ocon,renault,31,8,4.0,12,53,Finished,12
7435,2020_8,kvyat,alphatauri,26,9,2.0,11,53,Finished,11
7436,2020_8,perez,racing_point,11,10,1.0,4,53,Finished,4
7437,2020_8,latifi,williams,6,11,0.0,20,53,Finished,20
7438,2020_8,grosjean,haas,8,12,0.0,16,53,Finished,16
7439,2020_8,raikkonen,alfa,7,13,0.0,14,53,Finished,14
7440,2020_8,russell,williams,63,14,0.0,19,53,Finished,19
7441,2020_8,albon,red_bull,23,15,0.0,9,53,Finished,9
7442,2020_8,giovinazzi,alfa,99,16,0.0,18,53,Finished,18
7443,2020_8,max_verstappen,red_bull,33,17,0.0,5,30,Power Unit,5
7444,2020_8,leclerc,ferrari,16,18,0.0,13,23,Accident,13
7445,2020_8,kevin_magnussen,haas,20,19,0.0,15,17,Power Unit,15
7446,2020_8,vettel,ferrari,5,20,0.0,17,6,Brakes,17
7447,2020_9,hamilton,mercedes,44,1,26.0,1,59,Finished,1
7448,2020_9,bottas,mercedes,77,2,18.0,2,59,Finished,2
7449,2020_9,albon,red_bull,23,3,15.0,4,59,Finished,4
7450,2020_9,ricciardo,renault,3,4,12.0,8,59,Finished,8
7451,2020_9,perez,racing_point,11,5,10.0,7,59,Finished,6
7452,2020_9,norris,mclaren,4,6,8.0,11,59,Finished,11
7453,2020_9,kvyat,alphatauri,26,7,6.0,12,59,Finished,12
7454,2020_9,leclerc,ferrari,16,8,4.0,5,59,Finished,5
